gene_name,gene_length,nucleotide_overlap,median_coverage,mean_coverage,reads_mapped,num_nts_in_reads
chyd:H4K34_00195,906,150,0.0,0.16445916114790288,1,150
chyd:H4K34_01110,1116,150,0.0,0.1335125448028674,1,150
chyd:H4K34_01895,1353,64,0.0,0.04656319290465632,1,64
chyd:H4K34_12290,576,59,0.0,0.10069444444444445,1,59
chyd:H4K34_17685,1827,118,0.0,0.06403940886699508,1,118
chyd:H4K34_17690,459,46,0.0,0.09803921568627451,1,46
chyd:H4K34_14540,2844,150,0.0,0.05239099859353024,1,150
chyd:H4K34_02825,2535,150,0.0,0.058777120315581854,1,150
chyd:H4K34_16530,906,150,0.0,0.16445916114790288,1,150
chyd:H4K34_13680,894,150,0.0,0.16666666666666666,1,150
chyd:H4K34_10810,936,150,0.0,0.15918803418803418,1,150
chyd:H4K34_14725,2631,18,0.0,0.006461421512732801,1,18
chyd:H4K34_09385,1377,150,0.0,0.10820624546114742,1,150
chyd:H4K34_18020,816,150,0.0,0.18259803921568626,1,150
chyd:H4K34_06850,2166,150,0.0,0.06879039704524469,1,150
chyd:H4K34_14030,1341,122,0.0,0.09023117076808351,1,122
chyd:H4K34_00635,1098,150,0.0,0.13570127504553733,1,150
chyd:H4K34_08565,798,150,0.0,0.18671679197994986,1,150
chyd:H4K34_12905,1059,150,0.0,0.14069877242681775,1,150
chyd:H4K34_03620,687,19,0.0,0.026200873362445413,1,19
chyd:H4K34_15210,1470,150,0.0,0.10136054421768707,1,150
chyd:H4K34_02690,2514,150,0.0,0.05926809864757359,1,150
chyd:H4K34_07235,1371,150,0.0,0.10867979576951131,1,150
chyd:H4K34_09045,687,150,0.0,0.21688500727802038,1,150
chyd:H4K34_05950,1644,150,0.0,0.09063260340632603,1,150
chyd:H4K34_14025,2268,150,0.0,0.06569664902998236,1,150
chyd:H4K34_10740,1026,117,0.0,0.11306042884990253,1,117
sini:GT972_07055,2286,150,0.0,0.06517935258092739,1,150
sini:GT972_11020,2160,150,0.0,0.06898148148148148,1,150
sini:GT972_10010,3855,150,0.0,0.03865110246433204,1,150
sini:GT972_13605,756,150,0.0,0.1970899470899471,1,150
sini:GT972_08930,1221,150,0.0,0.12203112203112203,1,150
sini:GT972_04800,477,90,0.0,0.18658280922431866,1,90
sini:GT972_06860,1272,150,0.0,0.11713836477987422,1,150
sini:GT972_12155,903,148,0.0,0.16279069767441862,1,148
sini:GT972_15165,1452,150,0.0,0.10261707988980716,1,150
sini:GT972_11510,720,150,0.0,0.20694444444444443,1,150
sini:GT972_06750,939,150,0.0,0.15867944621938232,1,150
sini:GT972_04135,1695,150,0.0,0.08790560471976401,1,150
sini:GT972_06995,654,150,0.0,0.22782874617737003,1,150
sini:GT972_05325,2304,150,0.0,0.0646701388888889,1,150
sini:GT972_04115,1386,150,0.0,0.1075036075036075,1,150
sini:GT972_08235,1344,150,0.0,0.11086309523809523,1,150
sini:GT972_07065,927,5,0.0,0.004314994606256742,1,5
sini:GT972_07515,843,150,0.0,0.1767497034400949,1,150
sini:GT972_10310,2799,150,0.0,0.05323329760628796,1,150
sini:GT972_07970,1800,150,0.0,0.08277777777777778,1,150
sini:GT972_04195,1587,150,0.0,0.09388783868935098,1,150
sini:GT972_07765,1377,150,0.0,0.10820624546114742,1,150
sini:GT972_07745,1167,150,0.0,0.12767780634104542,1,150
sini:GT972_04605,6168,150,0.0,0.024156939040207524,1,150
sini:GT972_01315,576,74,0.0,0.1267361111111111,1,74
sini:GT972_08050,2625,150,0.0,0.05676190476190476,1,150
sini:GT972_08985,1068,150,0.0,0.13951310861423222,1,150
sini:GT972_10690,1275,150,0.0,0.11686274509803922,1,150
sini:GT972_10660,669,150,0.0,0.2227204783258595,1,150
sini:GT972_12440,1485,150,0.0,0.10033670033670034,1,150
sini:GT972_08080,981,150,0.0,0.15188583078491336,1,150
sini:GT972_05825,1344,150,0.0,0.11086309523809523,1,150
psyh:D0S48_14450,780,150,0.0,0.191025641025641,1,150
psyh:D0S48_00135,2334,150,0.0,0.06383890317052271,1,150
psyh:D0S48_18060,951,150,0.0,0.15667718191377497,1,150
psyh:D0S48_00430,2193,150,0.0,0.06794345645234838,1,150
psyh:D0S48_01700,1110,150,0.0,0.13423423423423422,1,150
psyh:D0S48_09695,726,62,0.0,0.08402203856749312,1,62
psyh:D0S48_11775,2938,150,0.0,0.050714771953710006,1,150
psyh:D0S48_17620,1080,281,0.0,0.25833333333333336,2,281
psyh:D0S48_20330,531,150,0.0,0.2806026365348399,1,150
psyh:D0S48_05930,708,150,0.0,0.21045197740112995,1,150
psyh:D0S48_03290,1143,54,0.0,0.04636920384951881,1,54
psyh:D0S48_18450,1455,127,0.0,0.0865979381443299,1,127
psyh:D0S48_12230,1137,149,0.0,0.13016710642040458,1,149
psyh:D0S48_05535,2076,150,0.0,0.07177263969171484,1,150
psyh:D0S48_18460,1014,150,0.0,0.14694280078895464,1,150
psyh:D0S48_17995,810,150,0.0,0.18395061728395062,1,150
psyh:D0S48_13110,3603,319,0.0,0.12406328059950042,3,450
psyh:D0S48_10060,3234,150,0.0,0.046072974644403214,1,150
psyh:D0S48_15025,2118,150,0.0,0.07034938621340887,1,150
psyh:D0S48_02415,1971,300,0.0,0.15119228817858954,2,300
psyh:D0S48_04170,915,150,0.0,0.1628415300546448,1,150
psyh:D0S48_07160,978,150,0.0,0.1523517382413088,1,150
psyh:D0S48_10140,948,150,0.0,0.1571729957805907,1,150
psyh:D0S48_01880,1050,150,0.0,0.1419047619047619,1,150
psyh:D0S48_15175,330,143,0.0,0.4303030303030303,1,143
psyh:D0S48_06740,1815,150,0.0,0.08209366391184574,1,150
psyh:D0S48_03545,384,150,0.0,0.3880208333333333,1,150
psyh:D0S48_01340,495,150,0.0,0.301010101010101,1,150
psyh:D0S48_17135,1686,171,0.0,0.1767497034400949,2,300
psyh:D0S48_20165,1704,150,0.0,0.08744131455399061,1,150
psyh:D0S48_07920,1350,150,0.0,0.11037037037037037,1,150
psyh:D0S48_07500,969,149,0.0,0.15273477812177502,1,149
psyh:D0S48_04805,1572,150,0.0,0.09478371501272265,1,150
psyh:D0S48_19725,1203,150,0.0,0.12385702410640066,1,150
psyh:D0S48_04305,1512,150,0.0,0.09854497354497355,1,150
psyh:D0S48_19830,645,150,0.0,0.2310077519379845,1,150
psyh:D0S48_12660,975,150,0.0,0.15282051282051282,1,150
psyh:D0S48_00185,2643,3,0.0,0.0007567158531971245,1,3
psyh:D0S48_17990,930,228,0.0,0.3204301075268817,2,300
psyh:D0S48_17370,1116,150,0.0,0.1335125448028674,1,150
psyh:D0S48_03110,1881,450,0.0,0.23763955342902712,3,450
psyh:D0S48_08225,1185,150,0.0,0.1257383966244726,1,150
psyh:D0S48_20215,1221,150,0.0,0.12203112203112203,1,150
psyh:D0S48_09710,1737,150,0.0,0.08578008059873345,1,150
psyh:D0S48_11080,2073,150,0.0,0.07187650747708635,1,150
psyh:D0S48_11250,1596,300,0.0,0.18671679197994986,2,300
psyh:D0S48_16035,627,56,0.0,0.08771929824561403,1,56
psyh:D0S48_10825,1650,150,0.0,0.0903030303030303,1,150
psyh:D0S48_17610,993,150,0.0,0.1500503524672709,1,150
psyh:D0S48_05605,1356,150,0.0,0.10988200589970501,1,150
psyh:D0S48_13625,756,150,0.0,0.1970899470899471,1,150
psyh:D0S48_14795,1539,150,0.0,0.096816114359974,1,150
psyh:D0S48_15815,1521,150,0.0,0.09796186719263643,1,150
psyh:D0S48_16170,1332,150,0.0,0.11186186186186187,1,150
psyh:D0S48_10250,1395,136,0.0,0.0967741935483871,1,136
psyh:D0S48_10255,1152,15,0.0,0.012152777777777778,1,15
psyh:D0S48_03950,1254,150,0.0,0.11881977671451356,1,150
psyh:D0S48_14880,810,150,0.0,0.18395061728395062,1,150
psyh:D0S48_13160,1317,150,0.0,0.11313591495823842,1,150
psyh:D0S48_10840,2574,300,0.0,0.11577311577311578,2,300
psyh:D0S48_02210,1605,150,0.0,0.09283489096573208,1,150
psyh:D0S48_07795,1506,150,0.0,0.09893758300132802,1,150
psyh:D0S48_14185,615,20,0.0,0.030894308943089432,1,20
psyh:D0S48_16650,1386,150,0.0,0.1075036075036075,1,150
psyh:D0S48_12780,1521,150,0.0,0.09796186719263643,1,150
psyh:D0S48_15360,888,150,0.0,0.1677927927927928,1,150
psyh:D0S48_17805,921,150,0.0,0.16178067318132464,1,150
psyh:D0S48_00510,2436,150,0.0,0.06116584564860427,1,150
psyh:D0S48_09165,957,150,0.0,0.15569487983281086,1,150
psyh:D0S48_07790,1278,150,0.0,0.11658841940532082,1,150
psyh:D0S48_14755,1884,300,0.0,0.15817409766454352,2,300
psyh:D0S48_01310,1641,150,0.0,0.09079829372333943,1,150
psyh:D0S48_10795,76,35,0.0,0.4473684210526316,1,35
psyh:D0S48_10800,71,71,1.0,0.9859154929577465,1,71
psyh:D0S48_11390,1440,150,0.0,0.10347222222222222,1,150
psyh:D0S48_20315,1467,150,0.0,0.10156782549420586,1,150
psyh:D0S48_07465,2007,150,0.0,0.07424015944195317,1,150
psyh:D0S48_06185,3441,150,0.0,0.04330136588201104,1,150
psyh:D0S48_14690,1485,150,0.0,0.10033670033670034,1,150
psyh:D0S48_18780,624,150,0.0,0.2387820512820513,1,150
psyh:D0S48_07750,1296,150,0.0,0.11496913580246913,1,150
psyh:D0S48_03615,504,147,0.0,0.2896825396825397,1,147
psyh:D0S48_17745,546,15,0.0,0.02564102564102564,1,15
psyh:D0S48_00805,1383,150,0.0,0.10773680404916848,1,150
psyh:D0S48_01530,1998,150,0.0,0.07457457457457457,1,150
psyh:D0S48_10385,1524,150,0.0,0.09776902887139108,1,150
psyh:D0S48_08475,1227,150,0.0,0.12143439282803586,1,150
psyh:D0S48_07730,810,150,0.0,0.18395061728395062,1,150
psyh:D0S48_16290,2229,150,0.0,0.06684611933602512,1,150
psyh:D0S48_19395,654,150,0.0,0.22782874617737003,1,150
psyh:D0S48_17500,939,150,0.0,0.15867944621938232,1,150
psyh:D0S48_19105,1713,150,0.0,0.08698190309398715,1,150
psyh:D0S48_13140,690,150,0.0,0.21594202898550724,1,150
psyh:D0S48_12720,894,150,0.0,0.16666666666666666,1,150
psyh:D0S48_15995,1710,150,0.0,0.0871345029239766,1,150
psyh:D0S48_07105,351,150,0.0,0.42450142450142453,1,150
psyh:D0S48_06575,1764,150,0.0,0.0844671201814059,1,150
psyh:D0S48_03525,1296,150,0.0,0.11496913580246913,1,150
psyh:D0S48_09800,1815,150,0.0,0.08209366391184574,1,150
psyh:D0S48_18155,1539,150,0.0,0.096816114359974,1,150
psyh:D0S48_20320,1149,150,0.0,0.12967798085291557,1,150
psyh:D0S48_07620,4479,150,0.0,0.03326635409689663,1,150
psyh:D0S48_06430,666,150,0.0,0.22372372372372373,1,150
psyh:D0S48_13145,1026,150,0.0,0.145224171539961,1,150
psyh:D0S48_18445,957,150,0.0,0.15569487983281086,1,150
psyh:D0S48_06295,558,55,0.0,0.0967741935483871,1,55
psyh:D0S48_03440,1668,150,0.0,0.08932853717026379,1,150
psyh:D0S48_19930,972,146,0.0,0.14917695473251028,1,146
psyh:D0S48_14695,483,150,0.0,0.3084886128364389,1,150
psyh:D0S48_09565,1299,75,0.0,0.05696689761354888,1,75
psyh:D0S48_16765,591,150,0.0,0.2521150592216582,1,150
psyh:D0S48_14855,1488,150,0.0,0.10013440860215053,1,150
psyh:D0S48_14270,477,150,0.0,0.31236897274633124,1,150
psyh:D0S48_14935,1398,150,0.0,0.10658082975679542,1,150
psyh:D0S48_01690,705,150,0.0,0.21134751773049645,1,150
psyh:D0S48_08860,1752,150,0.0,0.08504566210045662,1,150
psyh:D0S48_05545,903,150,0.0,0.16500553709856036,1,150
psyh:D0S48_15135,1110,150,0.0,0.13423423423423422,1,150
bsx:C663_1628,1623,150,0.0,0.0918052988293284,1,150
bsx:C663_3565,1134,150,0.0,0.13139329805996472,1,150
bsx:C663_2805,1176,150,0.0,0.12670068027210885,1,150
bsx:C663_2699,777,150,0.0,0.19176319176319176,1,150
bsx:C663_1665,1596,150,0.0,0.09335839598997493,1,150
bsx:C663_2559,2961,150,0.0,0.05032083755488011,1,150
bsx:C663_3824,681,53,0.0,0.0763582966226138,1,53
bsx:C663_2874,1167,150,0.0,0.12767780634104542,1,150
bsx:C663_r40,2927,150,0.0,0.0509053638537752,1,150
bsx:C663_2758,1272,150,0.0,0.11713836477987422,1,150
bsx:C663_2550,3171,150,0.0,0.046988331756543676,1,150
slim:SCL_2504,744,150,0.0,0.20026881720430106,1,150
slim:SCL_0824,858,300,0.0,0.3473193473193473,2,300
slim:SCL_0160,1944,150,0.0,0.07664609053497942,1,150
slim:SCL_0770,3942,300,0.0,0.07559614408929477,2,300
slim:SCL_1721,1308,127,0.0,0.0963302752293578,1,127
slim:SCL_0843,744,150,0.0,0.20026881720430106,1,150
slim:SCL_1442,1488,151,0.0,0.20026881720430106,2,300
slim:SCL_1904,3726,300,0.0,0.07997852925389157,2,300
slim:SCL_2085,798,58,0.0,0.07142857142857142,1,58
slim:SCL_0738,1464,150,0.0,0.10177595628415301,1,150
slim:SCL_2444,387,150,0.0,0.3850129198966408,1,150
slim:SCL_0876,2823,150,0.0,0.052780729720155864,1,150
slim:SCL_2524,828,85,0.0,0.10144927536231885,1,85
slim:SCL_0450,1200,150,0.0,0.12416666666666666,1,150
slim:SCL_2434,816,90,0.0,0.1090686274509804,1,90
slim:SCL_2269,2859,150,0.0,0.05211612451906261,1,150
slim:SCL_1042,690,28,0.0,0.0391304347826087,1,28
slim:SCL_1043,876,130,0.0,0.14726027397260275,1,130
slim:SCL_2410,510,150,0.0,0.29215686274509806,1,150
slim:SCL_2754,1710,150,0.0,0.0871345029239766,1,150
slim:SCL_2635,1338,150,0.0,0.11136023916292975,1,150
slim:SCL_0329,1821,150,0.0,0.08182317408017573,1,150
slim:SCL_0345,933,150,0.0,0.15969989281886388,1,150
slim:SCL_0469,882,150,0.0,0.1689342403628118,1,150
slim:SCL_1698,2394,139,0.0,0.05764411027568922,1,139
slim:SCL_0625,480,150,0.0,0.3104166666666667,1,150
slim:SCL_2360,1233,150,0.0,0.12084347120843471,1,150
slim:SCL_1191,1302,150,0.0,0.11443932411674347,1,150
slim:SCL_2573,1515,150,0.0,0.09834983498349835,1,150
slim:SCL_0751,1824,286,0.0,0.15570175438596492,2,286
slim:SCL_1519,381,150,0.0,0.3910761154855643,1,150
slim:SCL_0697,972,150,0.0,0.15329218106995884,1,150
slim:SCL_1695,3477,126,0.0,0.0359505320678746,1,126
slim:SCL_1026,1206,41,0.0,0.03316749585406302,1,41
slim:SCL_1027,2013,113,0.0,0.05563835072031793,1,113
slim:SCL_2416,435,110,0.0,0.25057471264367814,1,110
slim:SCL_0238,663,139,0.0,0.2081447963800905,1,139
slim:SCL_0282,954,81,0.0,0.08385744234800839,1,81
slim:SCL_1934,2622,150,0.0,0.05682684973302822,1,150
slim:SCL_0852,1386,189,0.0,0.215007215007215,2,300
slim:SCL_1318,1362,150,0.0,0.10939794419970632,1,150
slim:SCL_0263,1707,150,0.0,0.08728763913298183,1,150
slim:SCL_0842,1182,96,0.0,0.08037225042301184,1,96
slim:SCL_1045,1353,150,0.0,0.11012564671101256,1,150
slim:SCL_0273,1566,150,0.0,0.09514687100893997,1,150
slim:SCL_1254,1281,300,0.0,0.23263075722092116,2,300
slim:SCL_2678,1890,150,0.0,0.07883597883597884,1,150
slim:SCL_0961,999,150,0.0,0.14914914914914915,1,150
slim:SCL_1631,1362,70,0.0,0.05066079295154185,1,70
slim:SCL_1632,1224,84,0.0,0.06781045751633986,1,84
slim:SCL_1556,1221,254,0.0,0.20638820638820637,2,254
slim:SCL_0418,1065,150,0.0,0.13990610328638498,1,150
slim:SCL_0142,1401,150,0.0,0.10635260528194147,1,150
slim:SCL_0391,909,99,0.0,0.1078107810781078,1,99
slim:SCL_1614,1779,150,0.0,0.0837549184935357,1,150
slim:SCL_1680,339,16,0.0,0.04424778761061947,1,16
slim:SCL_2760,975,150,0.0,0.15282051282051282,1,150
slim:SCL_0798,1179,150,0.0,0.1263782866836302,1,150
slim:SCL_2696,2877,150,0.0,0.05179005908932916,1,150
slim:SCL_2058,606,4,0.0,0.0049504950495049506,1,4
slim:SCL_2059,492,33,0.0,0.06504065040650407,1,33
slim:SCL_1423,372,150,0.0,0.40053763440860213,1,150
slim:SCL_2525,2139,150,0.0,0.06965871902758299,1,150
slim:SCL_0070,1350,150,0.0,0.11037037037037037,1,150
slim:SCL_0310,1491,150,0.0,0.0999329309188464,1,150
slim:SCL_1075,3603,150,0.0,0.04135442686650014,1,150
slim:SCL_0397,1383,150,0.0,0.10773680404916848,1,150
slim:SCL_1065,672,94,0.0,0.13839285714285715,1,94
slim:SCL_1215,615,33,0.0,0.05203252032520325,1,33
slim:SCL_1216,789,97,0.0,0.12167300380228137,1,97
slim:SCL_1079,699,125,0.0,0.17739628040057226,1,125
slim:SCL_1195,1404,150,0.0,0.10612535612535613,1,150
slim:SCL_1356,477,124,0.0,0.2578616352201258,1,124
slim:SCL_0093,768,21,0.0,0.026041666666666668,1,21
slim:SCL_0097,969,19,0.0,0.018575851393188854,1,19
slim:SCL_1814,1434,150,0.0,0.10390516039051603,1,150
slim:SCL_1812,1440,70,0.0,0.04791666666666667,1,70
slim:SCL_2566,546,150,0.0,0.27289377289377287,1,150
slim:SCL_0361,1659,150,0.0,0.08981314044605183,1,150
slim:SCL_1198,1773,150,0.0,0.08403835307388607,1,150
slim:SCL_1894,1134,150,0.0,0.13139329805996472,1,150
slim:SCL_0473,1410,150,0.0,0.10567375886524823,1,150
slim:SCL_1792,3018,150,0.0,0.04937044400265076,1,150
slim:SCL_0724,987,48,0.0,0.047619047619047616,1,48
slim:SCL_0725,456,106,0.0,0.23026315789473684,1,106
slim:SCL_1033,267,150,1.0,0.5580524344569289,1,150
slim:SCL_1004,918,150,0.0,0.16230936819172112,1,150
slim:SCL_0910,1671,150,0.0,0.08916816277678037,1,150
slim:SCL_2273,1014,150,0.0,0.14694280078895464,1,150
slim:SCL_2362,1497,150,0.0,0.09953239812959253,1,150
slim:SCL_2292,369,125,0.0,0.33604336043360433,1,125
slim:SCL_2293,294,21,0.0,0.06802721088435375,1,21
slim:SCL_1152,2130,150,0.0,0.06995305164319249,1,150
slim:SCL_0950,690,55,0.0,0.0782608695652174,1,55
slim:SCL_1446,3033,150,0.0,0.0491262776129245,1,150
slim:SCL_2712,465,79,0.0,0.16774193548387098,1,79
slim:SCL_2713,1341,68,0.0,0.049962714392244596,1,68
slim:SCL_0333,642,150,0.0,0.23208722741433022,1,150
slim:SCL_0937,1266,3,0.0,0.001579778830963665,1,3
slim:SCL_0938,3099,150,0.0,0.04808002581477896,1,150
slim:SCL_1493,747,142,0.0,0.18875502008032127,1,142
slim:SCL_1160,1356,150,0.0,0.10988200589970501,1,150
slim:SCL_2598,1071,150,0.0,0.13912231559290383,1,150
slim:SCL_2745,1470,150,0.0,0.10136054421768707,1,150
slim:SCL_2440,5640,150,0.0,0.026418439716312057,1,150
slim:SCL_0215,1434,150,0.0,0.10390516039051603,1,150
slim:SCL_0039,1368,32,0.0,0.02266081871345029,1,32
slim:SCL_1222,1125,150,0.0,0.13244444444444445,1,150
slim:SCL_2449,432,39,0.0,0.08796296296296297,1,39
slim:SCL_2450,498,115,0.0,0.2289156626506024,1,115
slim:SCL_0657,2421,3,0.0,0.0008261049153242462,1,3
slim:SCL_0396,933,150,0.0,0.15969989281886388,1,150
slim:SCL_1830,1812,150,0.0,0.08222958057395144,1,150
slim:SCL_0805,1221,150,0.0,0.12203112203112203,1,150
slim:SCL_0415,726,150,0.0,0.20523415977961432,1,150
slim:SCL_1372,1245,150,0.0,0.11967871485943775,1,150
slim:SCL_0431,1026,33,0.0,0.031189083820662766,1,33
slim:SCL_0432,516,6,0.0,0.009689922480620155,1,6
slim:SCL_1482,2025,150,0.0,0.07358024691358024,1,150
slim:SCL_1007,1959,150,0.0,0.07605921388463502,1,150
slim:SCL_0579,1200,150,0.0,0.12416666666666666,1,150
slim:SCL_0786,1812,150,0.0,0.08222958057395144,1,150
slim:SCL_1228,945,150,0.0,0.15767195767195769,1,150
slim:SCL_1657,321,150,0.0,0.46417445482866043,1,150
slim:SCL_0158,582,150,0.0,0.25601374570446733,1,150
slim:SCL_1898,798,95,0.0,0.11779448621553884,1,95
slim:SCL_0878,450,109,0.0,0.24,1,109
slim:SCL_1553,876,31,0.0,0.03424657534246575,1,31
slim:SCL_0563,885,150,0.0,0.16836158192090395,1,150
slim:SCL_0859,750,90,0.0,0.11866666666666667,1,90
slim:SCL_0860,480,64,0.0,0.13125,1,64
slim:SCL_1323,1209,150,0.0,0.12324234904880066,1,150
slim:SCL_2304,4095,150,0.0,0.03638583638583639,1,150
slim:SCL_1333,228,128,1.0,0.5570175438596491,1,128
slim:SCL_2728,636,150,0.0,0.23427672955974843,1,150
slim:SCL_0679,2472,150,0.0,0.060275080906148866,1,150
slim:SCL_0267,459,150,0.0,0.32461873638344224,1,150
slim:SCL_0205,1146,150,0.0,0.1300174520069808,1,150
slim:SCL_1688,795,150,0.0,0.18742138364779873,1,150
slim:SCL_0833,1587,150,0.0,0.09388783868935098,1,150
slim:SCL_2082,900,150,0.0,0.16555555555555557,1,150
slim:SCL_1153,1950,150,0.0,0.07641025641025641,1,150
slim:SCL_2747,1257,150,0.0,0.11853619729514718,1,150
slim:SCL_2242,294,150,1.0,0.5068027210884354,1,150
slim:SCL_0041,2871,150,0.0,0.051898293277603626,1,150
slim:SCL_1621,903,150,0.0,0.16500553709856036,1,150
slim:SCL_2133,1248,150,0.0,0.11939102564102565,1,150
slim:SCL_2474,1923,150,0.0,0.07748309932397296,1,150
mbm:BCGMEX_3868c,1884,150,0.0,0.07908704883227176,1,150
mbm:BCGMEX_3725,1956,150,0.0,0.0761758691206544,1,150
mbm:BCGMEX_0242c,4203,150,0.0,0.03545086842731383,1,150
mbm:BCGMEX_0014c,1881,124,0.0,0.06539074960127592,1,124
mbm:BCGMEX_0015c,1296,30,0.0,0.022376543209876542,1,30
mbm:BCGMEX_3409,1140,150,0.0,0.1307017543859649,1,150
mbm:BCGMEX_3327c,918,150,0.0,0.16230936819172112,1,150
mbm:BCGMEX_2896c,1095,266,0.0,0.2410958904109589,2,266
mbm:BCGMEX_2950,6567,150,0.0,0.022689203593726205,1,150
mbm:BCGMEX_3623,1524,150,0.0,0.09776902887139108,1,150
mbm:BCGMEX_2064c,3585,150,0.0,0.04156206415620642,1,150
mbm:BCGMEX_3577,792,150,0.0,0.18813131313131312,1,150
mbm:BCGMEX_3885,369,17,0.0,0.04336043360433604,1,17
mbm:BCGMEX_2516c,747,4,0.0,0.004016064257028112,1,4
mbm:BCGMEX_2517c,1644,64,0.0,0.03832116788321168,1,64
mbm:BCGMEX_3333,1119,150,0.0,0.13315460232350312,1,150
mbm:BCGMEX_2932c,1578,150,0.0,0.0944233206590621,1,150
mbm:BCGMEX_0259,2562,150,0.0,0.05815768930523029,1,150
mbm:BCGMEX_1166c,2280,17,0.0,0.007017543859649123,1,17
mbm:BCGMEX_2454c,2862,150,0.0,0.052061495457721874,1,150
mbm:BCGMEX_1561,1392,300,0.0,0.21408045977011494,2,300
mbm:BCGMEX_2510c,822,150,0.0,0.18126520681265207,1,150
mbm:BCGMEX_3858,3297,300,0.0,0.09038519866545344,2,300
mbm:BCGMEX_t0025,73,57,1.0,0.7671232876712328,1,57
mbm:BCGMEX_1239,957,150,0.0,0.15569487983281086,1,150
mbm:BCGMEX_2126c,3579,300,0.0,0.0832634814193909,2,300
mbm:BCGMEX_0480,861,74,0.0,0.08478513356562137,1,74
mbm:BCGMEX_0182,969,24,0.0,0.023735810113519093,1,24
mbm:BCGMEX_0183,555,130,0.0,0.23243243243243245,1,130
mbm:BCGMEX_1050,978,150,0.0,0.1523517382413088,1,150
mbm:BCGMEX_2949,4617,150,0.0,0.03227203811999134,1,150
mbm:BCGMEX_1422,627,150,0.0,0.23763955342902712,1,150
mbm:BCGMEX_1642c,444,33,0.0,0.07207207207207207,1,33
mbm:BCGMEX_0005,2145,150,0.0,0.06946386946386947,1,150
mbm:BCGMEX_1787c,747,125,0.0,0.16599732262382866,1,125
mbm:BCGMEX_3158,1089,150,0.0,0.13682277318640956,1,150
mbm:BCGMEX_0823,1302,150,0.0,0.11443932411674347,1,150
mbm:BCGMEX_1861c,2058,9,0.0,0.003887269193391642,1,9
mbm:BCGMEX_0608,1551,150,0.0,0.09606705351386202,1,150
mbm:BCGMEX_2142,1074,150,0.0,0.1387337057728119,1,150
mbm:BCGMEX_2687,1317,150,0.0,0.11313591495823842,1,150
mbm:BCGMEX_1458,1380,150,0.0,0.10797101449275362,1,150
mbm:BCGMEX_1710,624,300,0.0,0.4775641025641026,2,300
mbm:BCGMEX_2048c,1536,150,0.0,0.09700520833333333,1,150
